Year,Location,State/Local Government,Non-Profit,For-Profit,Total
2013,Alabama,1.5,0.9,0.8,3.1
2013,Alaska,0.3,1.6,0.3,2.1
2013,Arizona,0.1,1.5,0.4,2
2013,Arkansas,0.3,2.1,0.8,3.2
2013,California,0.3,1.2,0.3,1.8
2013,Colorado,0.3,1.2,0.4,2
2013,Connecticut,0.1,2.1,0,2.2
2013,Delaware,N/A,2.2,0,2.2
2013,District of Columbia,0.6,4.1,1,5.6
2013,Florida,0.5,1.3,1,2.7
2013,Georgia,0.5,1.6,0.4,2.5
2013,Hawaii,0.6,1.4,N/A,2
2013,Idaho,0.5,1.2,0.4,2.1
2013,Illinois,0.1,2.2,0.2,2.5
2013,Indiana,0.4,1.9,0.3,2.6
2013,Iowa,0.9,2.2,0,3.2
2013,Kansas,1.2,1.6,0.7,3.5
2013,Kentucky,0.4,2.4,0.4,3.2
2013,Louisiana,0.9,1.7,0.7,3.4
2013,Maine,0.1,2.5,0.1,2.6
2013,Maryland,N/A,2.1,0,2.1
2013,Massachusetts,0.1,2,0.4,2.5
2013,Michigan,0.1,2.2,0.3,2.5
2013,Minnesota,0.5,2.3,N/A,2.7
2013,Mississippi,1.9,1.5,0.9,4.3
2013,Missouri,0.5,2.2,0.5,3.1
2013,Montana,0.4,3.3,0,3.7
2013,Nebraska,0.7,2.9,0.1,3.6
2013,Nevada,0.2,0.6,1.2,2
2013,New Hampshire,N/A,1.8,0.3,2.1
2013,New Jersey,0.1,2.1,0.2,2.4
2013,New Mexico,0.3,0.7,0.8,1.8
2013,New York,0.5,2.4,N/A,2.9
2013,North Carolina,0.7,1.5,0.2,2.3
2013,North Dakota,N/A,3.9,0.1,4
2013,Ohio,0.2,2.5,0.2,2.9
2013,Oklahoma,0.7,1.3,1,3
2013,Oregon,0.3,1.4,0.1,1.7
2013,Pennsylvania,0,2.6,0.4,3.1
2013,Rhode Island,N/A,2,0.1,2.1
2013,South Carolina,0.7,1.3,0.7,2.7
2013,South Dakota,0.3,4.5,0.2,4.9
2013,Tennessee,0.5,1.6,1.1,3.1
2013,Texas,0.3,1.1,0.9,2.3
2013,Utah,0.2,1,0.6,1.8
2013,Vermont,N/A,1.9,N/A,1.9
2013,Virginia,0.2,1.5,0.5,2.2
2013,Washington,0.4,1.2,0.1,1.8
2013,West Virginia,0.3,2.8,0.7,3.8
2013,Wisconsin,0,2.1,0.1,2.2
2013,Wyoming,2.3,0.7,0.3,3.3
