"Title: Hospital Beds per 1,000 Population by Ownership Type | KFF"
"Timeframe: 2008"
"Location","State/Local Government","Non-Profit","For-Profit","Total"
"United States","0.4","1.8","0.4","2.7"
"Alabama","1.5","0.9","0.9","3.3"
"Alaska","0.3","1.6","0.3","2.3"
"Arizona","0.1","1.5","0.4","2"
"Arkansas","0.3","2.3","0.7","3.4"
"California","0.4","1.2","0.3","1.9"
"Colorado","0.5","1.2","0.4","2"
"Connecticut","0","2.2","0","2.3"
"Delaware","N/A","2.3","0","2.4"
"District of Columbia","N/A","4.5","1.2","5.7"
"Florida","0.5","1.4","0.9","2.9"
"Georgia","0.8","1.4","0.4","2.6"
"Hawaii","0.7","1.7","N/A","2.4"
"Idaho","0.7","1.2","0.3","2.2"
"Illinois","0.2","2.3","0.2","2.7"
"Indiana","0.6","1.8","0.4","2.8"
"Iowa","1","2.5","0","3.5"
"Kansas","1.2","1.8","0.6","3.7"
"Kentucky","0.4","2.5","0.4","3.3"
"Louisiana","1.1","1.6","0.9","3.6"
"Maine","0.1","2.5","0.1","2.7"
"Maryland","N/A","2.1","0.1","2.1"
"Massachusetts","0.1","2.1","0.2","2.4"
"Michigan","0.1","2.3","0.1","2.5"
"Minnesota","0.5","2.4","N/A","3"
"Mississippi","1.9","1.6","1","4.5"
"Missouri","0.5","2.2","0.5","3.2"
"Montana","0.3","3.5","0","3.9"
"Nebraska","0.9","3","0.2","4.1"
"Nevada","0.3","0.7","1","2"
"New Hampshire","N/A","1.9","0.3","2.2"
"New Jersey","0.1","2.1","0.1","2.4"
"New Mexico","0.4","0.8","0.8","2"
"New York","0.5","2.6","0","3.1"
"North Carolina","0.7","1.7","0.1","2.5"
"North Dakota","N/A","5.2","0.1","5.4"
"Ohio","0.3","2.6","0.1","2.9"
"Oklahoma","0.6","1.5","0.9","3"
"Oregon","0.3","1.5","0.1","1.8"
"Pennsylvania","0","2.9","0.3","3.2"
"Rhode Island","N/A","2.3","N/A","2.3"
"South Carolina","0.8","1.3","0.7","2.8"
"South Dakota","0.3","4.6","0.1","5.1"
"Tennessee","0.7","1.7","1","3.4"
"Texas","0.4","1.2","0.9","2.5"
"Utah","0.3","1","0.6","1.8"
"Vermont","N/A","2.1","N/A","2.1"
"Virginia","0.2","1.5","0.5","2.3"
"Washington","0.4","1.2","0.1","1.7"
"West Virginia","0.3","3.1","0.7","4.1"
"Wisconsin","0","2.4","0.1","2.4"
"Wyoming","2.7","0.8","0.4","3.9"

"Notes"
"Data include staffed beds for community hospitals, which represent 85% of all hospitals."
""
"Figures may not sum to totals due to rounding."

"Sources"
"1999 - 2018 AHA Annual Survey, Copyright 2019 by Health Forum, LLC, an affiliate of the American Hospital Association. Special data request, 2019. Available at [http://www.ahaonlinestore.com](https://ams.aha.org/eweb/DynamicPage.aspx?WebCode=ProdDetailAdd&ivd_prc_prd_key=165f9fbf-d766-40a9-96a6-a212aed366bb)."
""
"Population data from Annual Population Estimates by State, U.S. Census Bureau; available at [http://www.census.gov/popest/](http://www.census.gov/popest/)."

"Definitions"
"*Community Hospitals:* All nonfederal, short-term general, and specialty hospitals whose facilities and services are available to the public."
""
"*N/A*: Not applicable when state/local government, non-profit, or for-profit hospitals do not exist in the state."


