,indicator_category,indicator,gender,race_ethnicity,rate,state,year
639,Injury and Violence,"Firearm Related Mortality Rate (Age-Adjusted; Per 100,000 people)",Female,All,1.4, MA,2010
10136,"Nutrition, Physical Activity, & Obesity","Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)",Both,Asian/PI,18.6, CA,2010
11511,Tobacco,Percent of High School Students Who Currently Smoke,Male,All,14.0, WA,2010
5611,"Nutrition, Physical Activity, & Obesity",Percent of Adults Who Are Obese,Both,Black,38.2, FL,2010
392,"Nutrition, Physical Activity, & Obesity",Percent of Adults Who Are Obese,Male,All,25.1, MD,2010
391,"Nutrition, Physical Activity, & Obesity",Percent of Adults Who Are Obese,Female,All,32.8, MD,2010
11983,Injury and Violence,"Motor Vehicle Mortality Rate (Age-Adjusted; Per 100,000 people)",Both,Asian/PI,5.1,,2010
5620,Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,Female,All,5.7, FL,2010
375,Infectious Disease,Percent of Adults Over Age 65 Who Received Pneumonia Vaccine,Both,All,54.6, MD,2010
376,Infectious Disease,Percent of Adults Over Age 65 Who Received Pneumonia Vaccine,Female,All,51.5, MD,2010
10102,Cancer,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",Both,Other,120.3, CA,2010
11980,Injury and Violence,"Motor Vehicle Mortality Rate (Age-Adjusted; Per 100,000 people)",Both,All,11.3,,2010
11979,Injury and Violence,"Motor Vehicle Mortality Rate (Age-Adjusted; Per 100,000 people)",Female,All,6.5,,2010
10105,Cancer,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",Both,White,172.4, CA,2010
770,Injury and Violence,"Motor Vehicle Mortality Rate (Age-Adjusted; Per 100,000 people)",Both,All,3.1, MA,2010
5619,Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,Male,All,16.8, FL,2010
384,Infectious Disease,Percent of Adults Over Age 65 Who Received Pneumonia Vaccine,Both,Black,47.6, MD,2010
10109,Tobacco,Percent of Adults Who Currently Smoke,Female,All,9.4, CA,2010
11515,Tobacco,Percent of High School Students Who Currently Smoke,Both,Asian/PI,7.0, WA,2010
12638,Maternal and Child Health,Percent of Low Birth Weight Babies Born,Both,Asian/PI,7.4, DC,2010
5603,Infectious Disease,Percent of Adults Over Age 65 Who Received Pneumonia Vaccine,Both,White,65.4, FL,2010
408,Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,Male,All,20.3, MD,2010
